VOWEL,DURATION,F1,F2,F3,Stress
ʌ,93.00,823,1203,2998,u
oe,62.05,680,1482,2923,s
o,64.06,563,1137,2974,u
e,119.69,749,1916,2770,u
ʌ,83.90,930,1402,2923,u
e,74.11,680,2107,2903,s
ʌ,92.54,817,1472,2735,u
e,95.99,737,1693,2726,u
ʌ,83.88,920,1505,2872,u
e,70.14,637,2111,2999,s
ʌ,89.11,745,1382,2763,u
e,114.65,656,1782,2712,u
øe,104.90,594,1709,2707,s
ø,92.31,594,1785,2601,u
ø,50.26,403,1995,2719,u
ɛ,150.02,714,1646,2778,u
øe,104.01,646,1683,2745,s
ø,92.53,575,1743,2597,u
øe,40.08,363,2020,2890,u
ɛ,138.35,657,1819,2806,u
ʌ,171.70,944,1155,3071,s
ʌ,187.44,937,1164,2834,s
e,72.46,701,2257,2941,s
e,67.92,583,2117,2793,u
e,65.21,675,1883,2973,u
o,122.53,707,1022,3129,u
e,83.94,641,2084,2809,s
e,78.29,578,2164,2796,u
e,60.76,596,1839,2757,u
o,134.85,620,1080,3115,u
u,225.57,443,1052,2538,s
u,221.20,504,1053,2432,s
ʌ,83.58,900,1414,2751,u
e,58.51,684,2018,2854,s
ʌ,83.80,759,1421,2712,u
e,58.50,452,1989,2853,u
ɛ,110.11,666,1628,2671,u
ʌ,87.99,903,1414,2856,u
e,63.82,670,2048,2858,s
ʌ,72.60,739,1507,2733,u
e,56.32,467,2013,2829,u
ɛ,121.14,682,1881,2764,u
o,146.15,601,1092,2718,s
o,134.20,563,1088,2894,s
ʌ,85.57,909,1423,2822,u
ue,62.37,626,1689,2720,s
u,73.03,392,1349,2917,u
e,124.93,708,1877,2973,u
ʌ,114.90,935,1367,2864,u
ue,61.34,584,1598,2833,s
u,74.86,401,1253,3033,u
e,131.99,667,1858,2551,u
ʌ,105.06,913,1308,2829,u
oe,78.11,655,1313,2785,s
o,68.91,610,1213,2913,u
e,119.50,613,1606,2658,u
ʌ,89.66,848,1261,2681,u
oe,88.80,697,1444,2738,s
o,66.62,565,1176,2870,u
e,118.12,610,1795,2639,u
e,56.12,561,2082,2811,u
ɛe,103.24,802,2129,2904,s
e,58.76,664,1941,2785,u
e,86.20,705,1951,2920,u
ɛ,116.83,726,1920,2775,u
e,53.10,587,2163,2898,u
ɛe,99.01,780,2155,2872,s
e,54.30,607,1984,2834,u
e,90.20,701,1984,2896,u
ɛ,118.95,687,1959,2924,u
e,82.90,617,2031,2861,s
e,73.97,565,2044,2793,u
e,96.82,664,1935,2893,u
ɛ,107.41,678,1919,2904,u
e,77.07,604,2152,2906,s
e,68.44,584,2108,2756,u
e,92.70,600,2003,2802,u
ɛ,151.82,679,1799,2835,u
i,221.91,338,2634,3063,s
i,193.51,381,2587,3006,s
ø,129.89,531,1786,2514,s
ø,141.22,566,1768,2575,s
e,101.21,639,2160,2979,s
ɛa,138.73,898,2133,2964,u
i,151.98,381,2489,2720,u
e,103.43,586,2160,2809,s
ɛa,133.23,758,2121,2822,u
i,174.82,381,2178,2851,u
e,96.43,621,2054,2904,s
a,138.41,1034,1719,2602,u
e,91.01,531,2115,2886,u
ɛ,150.82,736,1556,2694,u
e,114.61,609,2096,2826,s
a,140.75,1024,1780,2750,u
e,77.06,529,2099,2936,u
ɛ,161.70,675,1761,2794,u
a,175.88,1101,1683,2679,s
a,163.33,1076,1596,2666,s
i,118.33,414,2758,3037,s
i,132.66,441,2669,3127,s
e,84.81,607,2259,2932,s
e,84.53,598,2211,2818,u
o,148.12,633,1119,2646,u
e,82.99,611,2249,2952,s
e,83.55,567,2256,2664,u
o,140.95,677,1155,2771,u
ʌ,95.09,881,1272,2928,u
oe,88.47,685,1451,2874,s
o,70.03,574,1084,3085,u
o,110.60,635,1049,2861,u
ʌ,83.31,887,1412,2706,u
oe,79.45,666,1439,2841,s
o,67.21,578,1105,3052,u
o,101.75,593,1083,2718,u
ʌ,83.35,922,1217,2937,u
ue,71.41,564,1677,2955,s
u,57.78,339,1186,2974,u
o,127.05,791,1120,3119,u
ʌ,81.55,914,1374,3018,u
ue,62.32,605,1672,2929,s
u,59.71,458,1208,2908,u
o,121.30,717,1162,3077,u
e,82.70,639,2183,2959,s
e,81.23,663,2137,2844,u
e,130.25,728,1891,2727,u
e,85.03,653,2136,2993,s
e,77.98,593,2050,2943,u
e,132.63,746,1996,2755,u
ʌ,70.46,900,1444,2831,u
oe,67.97,733,1551,2942,s
o,58.49,601,1199,3059,u
e,89.43,639,1955,2875,u
ɛ,120.52,731,1908,2873,u
ʌ,78.97,900,1365,2840,u
oe,70.87,698,1616,2899,s
o,70.67,615,1178,3165,u
e,95.31,664,2007,2874,u
ɛ,132.41,736,1924,2909,u
e,114.38,547,2265,2834,s
e,118.35,561,2230,2743,s
ø,210.09,553,1721,2625,s
ie,54.89,468,2583,2842,u
ie,63.37,463,2498,2957,s
i,50.61,340,2504,2824,u
e,116.03,726,1861,2808,u
ie,53.91,425,2606,3007,u
ie,65.64,446,2650,3030,s
i,52.46,320,2586,2977,u
e,124.70,733,1861,2689,u
øe,53.54,492,1842,2682,u
øe,74.61,596,1838,2681,s
ø,130.24,561,1746,2525,u
ʌ,185.93,797,1246,2669,u
øe,56.76,465,1882,2737,u
øe,90.52,575,1895,2744,s
ø,108.37,566,1763,2630,u
ʌ,165.07,716,1210,2490,u
øe,85.96,577,1756,2706,s
ø,99.36,646,1751,2592,u
øe,60.39,503,1580,2675,u
o,127.39,753,1092,2221,u
øe,72.97,552,1700,2734,s
ø,95.64,624,1753,2564,u
øe,59.35,513,1617,2634,u
o,124.54,755,1079,3294,u
e,46.55,581,2072,2851,u
ɛe,101.00,763,2138,2913,s
e,65.57,687,1924,2826,u
e,87.70,771,1885,2852,u
e,48.88,531,2082,2990,u
ɛe,97.47,732,2204,2945,s
ʌ,103.74,852,1266,3076,u
e,63.46,648,2086,2909,s
ʌ,81.27,758,1402,2788,u
e,69.34,643,1837,2835,u
o,116.07,818,1091,1649,u
ʌ,110.23,913,1228,2988,u
e,76.09,634,2125,2939,s
ʌ,74.54,735,1371,2775,u
e,60.40,603,1723,2782,u
o,122.81,672,1045,2485,u
ie,53.43,430,2586,2963,u
ie,60.11,416,2570,3053,s
i,50.86,322,2536,2878,u
ʌ,147.86,780,1267,2582,u
ie,61.83,399,2605,3009,u
ie,62.95,401,2585,2892,s
i,52.62,315,2558,2932,u
ʌ,162.36,836,1351,2509,u
a,139.29,1010,1771,2508,s
a,164.50,997,1687,2555,s
ie,79.45,397,2693,3118,s
i,59.07,316,2589,2943,u
e,39.41,501,1804,2745,u
o,134.16,632,1094,3049,u
ie,68.99,359,2547,3180,s
i,71.00,324,2461,2797,u
e,72.56,652,1817,2729,u
o,128.28,700,1012,3167,u
e,88.96,559,2219,2879,u
e,106.71,676,2086,2964,s
a,104.02,1048,1694,2652,u
o,129.78,720,1137,2450,u
e,67.26,578,2101,2819,u
e,97.49,673,2108,3051,s
a,123.84,1044,1669,2651,u
o,110.39,676,1130,2773,u
e,66.99,519,2144,2826,u
e,82.48,615,2052,3016,s
a,108.07,1042,1775,2634,u
e,95.71,640,2143,2905,u
ɛ,150.07,747,1882,2961,u
e,59.29,524,2204,2845,u
e,88.29,616,2077,2929,s
a,94.98,1010,1892,1991,u
e,83.00,638,2094,2854,u
ɛ,143.92,732,1994,2954,u
e,179.43,615,2260,2822,s
e,196.22,657,2136,2779,s
ʌ,201.94,852,1239,3039,s
ʌ,216.10,891,1205,2919,s
ʌ,87.35,912,1386,2956,u
e,75.04,632,2049,2948,s
ʌ,90.69,784,1550,2731,u
i,122.59,392,2478,3085,u
ʌ,94.50,933,1369,2943,u
e,75.51,652,2043,2953,s
ʌ,93.25,801,1529,2746,u
i,124.81,386,2388,2601,u
u,113.90,336,1489,2675,s
u,129.64,365,1585,2811,s
ie,38.92,444,2492,2909,u
ie,65.99,401,2544,2822,s
i,43.32,315,2550,3108,u
e,99.99,697,1903,2888,u
ɛ,151.62,761,1843,2771,u
ie,52.87,431,2599,3033,u
ie,69.35,447,2534,3038,s
i,45.56,320,2508,2924,u
e,105.17,688,1930,2921,u
ɛ,152.13,723,1822,2824,u
e,79.88,648,2153,2938,s
e,72.93,599,2149,2786,u
e,106.40,666,1954,2791,u
e,87.00,609,2223,3001,s
e,75.43,612,2120,2758,u
e,102.91,655,1880,2783,u
e,68.35,581,2096,2802,u
ɛe,81.69,866,2181,2959,s
e,64.03,596,2108,2900,u
i,112.68,485,2636,3062,u
e,50.44,602,2097,2817,u
ɛe,92.76,827,2163,2964,s
e,67.25,617,2127,2870,u
i,100.33,490,2548,2947,u
i,110.27,318,2732,3019,s
i,94.94,325,2541,2925,s
e,90.59,633,1959,2659,s
a,121.23,1082,1702,2830,u
e,63.93,654,1673,2956,u
o,120.55,823,1086,3449,u
e,99.68,654,2224,3007,s
a,124.00,1048,1759,2711,u
e,60.23,589,1881,2803,u
o,123.45,695,1018,2766,u
e,77.01,564,2213,2923,s
ɛa,117.11,765,2202,2982,u
i,79.64,381,2752,3133,u
o,72.48,838,1155,3148,u
e,88.02,579,2255,3121,s
ɛa,117.50,746,2214,3041,u
i,90.52,369,2604,3109,u
o,115.31,710,1285,2704,u
ie,47.41,452,2517,3016,u
ie,80.40,465,2642,3210,s
i,53.50,313,2680,3095,u
o,124.35,633,999,2641,u
ie,53.86,433,2625,3036,u
ie,68.21,422,2685,3012,s
i,56.26,311,2698,3078,u
o,131.69,669,1072,2898,u
ie,56.90,439,2562,2999,u
ie,68.58,403,2640,2988,s
i,50.32,303,2642,2981,u
o,136.47,636,1062,2687,u
øe,103.21,538,1699,2655,s
ø,106.42,602,1831,2624,u
i,77.61,377,2510,2723,u
o,81.75,616,1129,3090,u
øe,105.93,524,1791,2771,s
ø,114.25,603,1871,2678,u
i,86.00,393,2249,2631,u
o,91.07,623,1092,3021,u
u,146.29,492,1174,2628,s
ʌ,101.21,973,1313,2959,u
e,72.13,682,2050,2917,s
ʌ,77.80,759,1397,2728,u
o,121.14,667,1082,2951,u
ʌ,88.55,886,1408,2939,u
e,84.79,657,2035,2844,s
ʌ,82.69,755,1439,2661,u
o,107.02,605,1068,2710,u
e,81.09,589,2250,2989,s
e,80.68,574,2138,2847,u
ʌ,135.43,823,1280,2648,u
e,79.87,596,2182,2929,s
e,78.89,559,2213,2858,u
ʌ,149.72,777,1215,2638,u
ʌ,66.01,870,1486,2770,u
ue,60.10,637,1759,2887,s
u,84.23,369,1313,2902,u
i,63.57,391,2499,2869,u
o,101.31,694,1288,2717,u
ʌ,83.35,990,1533,2789,u
ue,62.06,591,1730,2750,s
u,54.79,403,1407,2878,u
i,66.04,338,2450,2889,u
o,123.46,690,1171,2635,u
øe,60.79,497,1829,2695,u
øe,80.99,605,1812,2734,s
ø,129.97,553,1777,2547,u
i,150.04,363,2405,2882,u
øe,66.18,485,1824,2711,u
øe,95.07,565,1843,2680,s
ø,129.92,560,1815,2603,u
i,160.35,350,2479,2969,u
o,162.47,664,947,3064,s
o,206.24,648,936,3100,s
ɛe,88.45,786,2113,2929,s
e,75.78,650,2044,2825,u
e,59.53,543,1938,2854,u
o,142.00,683,1230,2572,u
ɛe,113.79,778,2235,2998,s
e,76.81,628,2019,2802,u
e,57.35,514,1941,2824,u
o,136.99,603,1050,2883,u
ʌ,85.80,946,1337,2900,u
ue,59.80,623,1714,2807,s
u,70.05,406,1125,3029,u
e,71.07,570,1974,2775,u
ɛ,148.47,708,1830,2712,u
ʌ,86.85,953,1415,2929,u
ue,55.15,684,1846,2782,s
u,68.40,449,1238,3034,u
e,72.96,501,2069,2829,u
ɛ,105.18,693,1846,2731,u
ʌ,79.16,930,1350,2901,u
ue,68.90,598,1610,2833,s
u,67.77,403,1265,2920,u
e,80.76,559,1953,2776,u
ɛ,128.56,775,1868,2720,u
ʌ,131.31,849,1093,2960,u
ee,88.15,593,2088,2834,s
ʌ,98.09,794,1520,2661,u
ʌ,162.31,819,1293,2684,u
ee,96.78,543,2193,2934,s
ʌ,183.36,814,1216,2793,u
o,126.96,538,940,2951,u
ʌ,88.28,843,1302,2806,u
ee,58.00,629,2039,2851,s
ʌ,82.56,740,1518,2655,u
e,76.05,593,1893,2853,u
ɛ,158.80,743,2059,2917,u
ue,112.17,375,1207,2670,s
u,94.83,417,1611,2748,u
i,79.41,392,2415,2740,u
ie,84.91,447,2668,3053,u
ie,87.99,503,2613,3190,s
i,61.26,391,2588,3056,u
ʌ,140.43,764,1330,2726,u
ʌ,112.96,787,1237,2902,u
ue,85.24,528,1434,2783,s
u,64.82,444,1319,2878,u
e,128.75,735,1852,2797,u
ee,91.49,524,2310,2923,s
ʌ,176.56,824,1224,2751,u
e,156.89,466,2202,2890,u
øe,73.79,481,1891,2737,u
øe,124.15,564,1754,2646,s
ø,135.21,571,1760,2537,u
ø,161.19,551,1900,2617,u
ee,58.12,539,2172,2832,u
ee,91.62,603,2162,2878,s
a,119.02,985,1835,2912,u
e,93.28,631,2030,2893,u
ɛ,134.12,644,1978,2900,u
ee,133.73,532,2319,2885,s
e,125.25,577,2311,2849,u
e,131.72,591,2156,2709,u
ʌ,119.80,848,1263,2728,u
ue,88.95,524,1518,2844,s
u,62.30,436,1522,2927,u
e,142.98,639,2080,2770,u
ee,99.94,529,2270,2770,s
ee,113.87,515,2318,2862,s
e,103.77,603,2260,2707,u
e,145.41,681,2059,2601,u
ie,69.13,363,2423,2786,s
i,67.81,362,2568,2993,u
e,60.95,598,1871,2878,u
ʌ,175.78,914,1228,2934,u
ie,85.23,339,2500,3060,s
i,58.36,358,2509,3149,u
e,64.54,561,2055,2888,u
ʌ,186.06,883,1230,2441,u
ʌ,104.32,847,1252,2711,u
oe,57.70,625,1391,2811,s
o,60.76,582,1190,2954,u
i,90.71,404,2524,2740,u
o,62.72,642,1239,2666,u
ʌ,124.62,1020,1181,2864,u
oe,76.05,582,1370,2800,s
o,60.61,547,1328,2869,u
i,90.19,404,2427,2793,u
o,58.60,659,1302,2390,u
øe,75.44,484,1795,2556,u
øe,113.24,547,1788,2665,s
ø,115.71,568,1835,2544,u
ʌ,210.52,832,1239,2516,u
ie,77.42,452,2647,3425,u
ie,101.33,499,2683,2913,s
i,63.98,413,2608,3101,u
i,137.40,368,2533,2942,u
ʌ,131.27,939,1188,2748,u
ue,91.24,558,1313,2757,s
u,69.64,365,1218,2743,u
ʌ,164.64,851,1343,3015,u
ʌ,107.04,889,1374,2875,u
ue,83.06,588,1490,2763,s
u,76.26,391,1188,2789,u
ʌ,177.19,944,1262,3140,u
øe,62.89,470,1766,2653,u
øe,90.75,572,1718,2688,s
ø,109.44,574,1768,2591,u
øo,132.97,600,1702,2617,u
ee,52.28,562,2154,2804,u
ɛe,145.81,845,2290,2986,s
e,73.38,595,2038,2838,u
e,142.33,660,2065,2941,u
ee,107.41,741,2248,2959,s
ee,79.88,538,2140,2855,u
e,112.93,697,1779,2649,u
oe,98.60,622,1096,2749,s
o,112.00,619,1064,2684,u
e,58.80,597,2081,2849,u
e,101.28,623,2022,3031,u
ɛ,145.77,714,1836,2813,u
øe,121.77,577,1718,2647,s
ø,102.77,587,1819,2630,u
øo,113.23,631,1674,2606,u
ee,79.04,573,2312,2944,u
ee,101.14,654,2165,2888,s
a,124.35,1032,1830,2939,u
e,94.87,676,1952,2714,u
ee,65.20,534,2160,2841,u
ɛe,127.77,748,2321,2968,s
e,70.69,641,2042,2885,u
o,139.42,631,1160,2860,u
ie,72.24,324,2405,2968,s
i,56.23,327,2570,3000,u
e,64.22,613,1965,2782,u
e,124.10,680,1877,2843,u
øe,115.43,560,1696,2675,s
øe,92.26,573,1768,2601,u
ø,64.73,443,1992,2694,u
ɛ,127.57,689,1714,2697,u
ee,119.17,554,2223,2808,s
a,168.40,1049,1794,2655,u
e,119.05,579,2015,2762,u
øe,118.01,565,1728,2618,s
ø,113.72,585,1822,2600,u
i,146.36,387,2494,2980,u
ee,57.34,521,2171,2759,u
ɛe,116.43,824,2226,2957,s
e,71.98,658,2029,2913,u
e,76.61,611,2014,2913,u
ɛ,147.00,715,2014,2656,u
ʌ,106.83,912,1273,2797,u
ee,63.74,648,2072,2839,s
ʌ,80.03,787,1452,2689,u
e,79.85,627,1868,2710,u
o,119.29,795,1075,1536,u
ɛe,82.03,723,2235,2903,s
e,82.88,597,1994,2861,u
e,61.26,504,2072,2858,u
ɛ,134.89,678,1760,2726,u
ee,84.54,604,2125,2855,s
e,77.04,584,2094,2761,u
e,60.31,486,2071,2769,u
o,128.75,631,1130,2819,u
ʌ,88.16,870,1333,2690,u
oe,76.31,630,1354,2791,s
o,55.20,600,1153,2970,u
e,82.93,619,1997,2863,u
ɛ,134.49,737,1860,2782,u
ee,97.23,603,2084,2700,s
ʌ,140.22,849,1252,2833,u
e,69.78,582,1940,2818,u
ɛ,127.10,712,1738,2883,u
ie,97.87,483,2605,3314,s
i,64.95,376,2514,2893,u
e,107.02,705,1689,2635,u
ee,125.21,555,2261,2763,s
e,118.59,489,2347,2734,u
øe,87.78,588,1767,2520,s
ø,81.85,592,1808,2775,u
i,42.04,542,2720,3210,u
ɛ,134.55,929,1933,2782,u
øe,104.02,548,1804,2710,s
ø,109.38,557,1901,2678,u
i,67.51,396,2446,2555,u
o,106.72,690,1210,2771,u
øe,122.74,524,1784,2764,s
ø,112.04,562,1968,2615,u
i,51.22,390,2514,2696,u
o,106.76,628,1120,2604,u
øe,112.87,523,1781,2631,s
ø,119.00,583,1813,2626,u
i,48.68,388,2480,2798,u
o,93.70,663,1209,2184,u
ʌ,65.28,772,1362,2900,u
ue,57.70,520,1428,2800,s
u,43.55,427,1305,2907,u
o,127.49,631,1215,2680,u
ʌ,100.84,912,1320,2906,u
e,81.49,655,2090,2857,s
ʌ,91.55,781,1414,2668,u
i,79.83,394,2450,2833,u
o,96.06,704,1146,2461,u
ee,94.82,620,2206,2853,s
e,81.19,546,2198,2810,u
e,130.97,559,1831,2688,u
ʌ,100.81,934,1224,2784,u
ue,56.96,609,1646,2677,s
u,73.04,441,1293,2774,u
e,58.52,488,2077,2774,u
ɛ,103.97,672,1753,2719,u
ee,91.51,538,2147,2831,s
a,162.26,982,1717,2626,u
ʌ,155.81,721,1246,2918,u
ee,112.20,602,2126,2820,s
a,150.11,936,1680,2621,u
e,75.95,516,2036,2902,u
o,139.53,659,1136,2911,u
ie,97.65,529,2532,3023,s
i,63.48,434,2526,2910,u
i,124.95,388,2614,2993,u
ee,106.94,567,2187,2828,s
ɛa,145.66,771,2201,2908,u
i,80.37,402,2606,3075,u
ɛ,95.11,788,1958,2773,u
ie,92.87,500,2568,3424,s
i,66.92,397,2565,2979,u
e,64.93,437,2278,2932,u
o,139.24,704,1175,2716,u
ie,93.49,487,2425,2988,s
i,51.20,362,2548,3001,u
e,70.44,596,2025,2767,u
o,145.42,692,1188,2672,u
ee,86.65,522,2263,2859,u
ee,102.61,630,2166,2876,s
a,150.82,1065,1683,2591,u
e,125.72,603,2291,2858,u
ie,82.29,433,2523,2927,u
ie,92.75,461,2669,3009,s
i,50.09,355,2625,2998,u
e,107.75,696,1658,2531,u
ee,90.81,512,2219,2851,s
ɛa,158.39,700,2216,2864,u
i,177.60,370,2595,2822,u
oe,73.77,556,932,2936,s
o,140.87,611,1118,2667,u
e,73.87,551,2133,2850,u
e,117.54,612,2056,2984,u
ee,96.37,657,2329,2975,s
e,76.35,601,2115,2784,u
e,108.07,687,1887,2798,u
ee,105.19,637,2401,3041,s
e,96.70,653,2287,2911,u
i,172.18,355,2688,2747,u
ee,86.36,518,2113,2717,s
ʌ,175.64,805,1181,2746,u
ʌ,175.89,761,1052,2965,u
ee,70.09,508,2366,3026,u
ee,101.86,548,2237,2972,s
a,121.67,986,1732,2825,u
ʌ,183.97,1123,1204,3117,u
ie,76.76,443,2677,3316,s
i,69.40,343,2710,3018,u
e,92.56,639,1850,2770,u
o,130.05,793,998,3456,u
oe,79.30,560,1018,2822,s
o,168.18,795,1295,2696,u
e,64.52,619,1959,2856,u
ʌ,211.38,896,1227,3236,u
oe,67.34,573,1001,2788,s
o,145.59,798,1328,2699,u
e,67.32,572,1881,2917,u
ʌ,211.35,860,1223,3217,u
øe,72.10,472,1886,2714,u
øe,96.97,535,1791,2695,s
ø,132.84,527,1859,2723,u
i,219.81,358,2539,2787,u
ie,71.75,457,2596,3115,s
i,51.57,377,2512,2985,u
i,71.95,373,2587,3007,u
o,112.13,738,1305,3021,u
ee,83.42,570,2165,2892,s
e,83.50,551,2237,2858,u
ʌ,137.90,765,1265,2662,u
ee,91.62,524,2307,2831,s
e,89.12,474,2350,2747,u
i,150.45,370,2568,2924,u
ɛ,116.67,654,2011,2842,u
e,83.95,537,2388,2840,s
e,84.29,492,2347,2806,u
i,54.44,405,2462,2844,u
ɛ,148.19,693,2149,2761,u
ee,86.26,544,2284,2834,s
a,150.72,1003,1839,2722,u
o,154.66,540,1061,2842,u
ee,81.33,576,2232,2877,s
e,71.13,523,2191,2894,u
i,41.09,385,2422,2947,u
o,93.99,701,1123,2913,u
oe,73.48,576,997,2810,s
o,168.08,792,1302,2496,u
e,83.41,548,2201,2961,u
e,139.97,587,2245,3010,u
ʌ,121.27,930,1185,2675,u
oe,108.70,585,1194,2852,s
o,55.90,564,1151,2938,u
e,131.77,747,1984,2811,u
ee,81.57,534,2244,2813,s
ʌ,193.26,815,1212,2630,u
e,108.04,608,2017,2728,u
ie,64.06,457,2672,3332,u
ie,77.75,469,2770,3157,s
i,67.28,336,2639,3067,u
e,143.28,579,2071,2696,u
øe,88.91,555,1785,2497,s
ø,84.65,581,1748,2631,u
øo,139.27,626,1764,2862,u
ʌ,111.55,848,1213,2893,u
oe,87.08,618,1349,2955,s
o,46.07,561,1277,2822,u
e,112.28,837,1865,2846,u
ʌ,95.90,873,1313,2648,u
ue,59.24,545,1571,2781,s
u,73.38,435,1415,2821,u
e,130.35,650,1817,2681,u
ʌ,91.56,847,1254,2638,u
oe,88.43,613,1274,2826,s
o,74.56,567,1267,2869,u
e,129.27,777,1797,2825,u
ʌ,102.14,821,1269,2737,u
oe,86.10,604,1319,2827,s
o,80.92,557,1289,2749,u
i,159.09,375,2496,2862,u
ɛe,93.50,613,2226,2809,s
e,86.10,528,2109,2844,u
i,91.43,350,2586,2961,u
o,91.65,732,1198,2074,u
ʌ,96.02,815,1284,2761,u
oe,84.64,598,1345,2812,s
o,52.12,548,1173,2972,u
i,157.75,386,2465,2800,u
ee,76.69,565,2170,2770,s
a,141.86,917,1714,2642,u
e,77.69,631,1961,2840,u
ɛ,147.39,674,1955,2923,u
ee,91.12,588,2194,3050,s
ɛa,113.24,688,2104,2952,u
i,82.62,377,2583,3048,u
o,90.67,925,1378,3175,u
ee,64.85,552,2331,3007,u
ee,103.14,581,2183,2923,s
ɛa,118.23,696,2062,2932,u
ʌ,111.39,862,1240,2898,u
ue,63.87,547,1456,2880,s
u,61.39,429,1308,3030,u
e,62.28,529,1977,2737,u
o,127.71,643,1147,2916,u
ie,71.70,433,2484,3029,s
i,74.48,398,2567,2934,u
i,81.23,402,2335,2903,u
i,215.29,410,2587,3004,u
ɛe,80.10,706,2314,2936,s
e,85.31,599,2014,2790,u
e,129.73,617,1913,2813,u
ʌ,100.63,868,1471,2892,u
oe,70.63,627,1363,2877,s
o,52.16,540,1216,2874,u
e,176.19,563,2050,2672,u
ue,93.60,453,1154,2726,s
u,91.79,351,1314,2794,u
e,137.91,711,1850,2716,u
ue,75.39,407,1169,2618,s
u,103.94,317,1142,2712,u
o,177.15,619,1116,2787,u
ue,74.47,471,1211,2679,s
u,102.93,320,1119,2783,u
o,160.81,641,1059,3121,u
ee,44.81,519,2157,2871,u
ɛe,98.60,788,2295,3007,s
e,79.23,605,2082,2825,u
i,147.05,444,2582,3062,u
ie,56.59,422,2591,2932,u
ie,77.49,452,2661,3019,s
i,41.28,313,2619,3096,u
e,99.07,605,1942,2865,u
ɛ,132.93,709,1885,2742,u
ʌ,91.27,848,1370,2817,u
ue,62.83,569,1566,2887,s
u,73.06,423,1534,2896,u
i,163.37,387,2525,2832,u
ʌ,84.50,826,1341,2790,u
ue,54.34,577,1492,2783,s
u,75.08,357,1220,3072,u
e,94.29,574,1870,2707,u
o,129.46,881,1150,2488,u
øe,81.94,536,1829,2634,s
ø,81.80,595,1843,2772,u
ʌ,201.08,1002,1215,3043,u
ø,74.89,501,1809,2684,s
ø,80.81,589,1762,2770,u
ʌ,175.89,998,1162,2907,u
øe,105.97,549,1781,2722,s
ø,113.75,589,1764,2556,u
øo,120.31,602,1649,2587,u
ʌ,110.99,874,1205,2811,u
oe,71.38,609,1386,2898,s
o,47.06,591,1244,3021,u
e,49.18,467,2089,2870,u
ɛ,87.24,674,1740,2723,u
ʌ,100.70,903,1295,2960,u
ee,66.10,642,2108,2901,s
ʌ,80.85,723,1519,2711,u
e,89.76,730,1684,2756,u
ʌ,100.87,886,1333,2811,u
e,59.74,633,2063,2874,s
ʌ,69.38,703,1444,2714,u
e,42.02,390,2017,2880,u
o,32.45,591,1327,2622,u
ʌ,69.37,861,1371,2804,u
ue,62.03,567,1663,2758,s
u,39.76,454,1460,2852,u
e,73.76,580,1913,2949,u
ɛ,148.46,666,1927,2816,u
ee,84.54,583,2149,2947,s
a,125.71,975,1612,2614,u
e,106.21,608,1916,2705,u
e,98.40,572,2236,2984,s
ɛa,135.10,616,2106,2804,u
i,179.37,376,2559,2980,u
oe,75.95,531,965,2908,s
o,142.85,592,1153,2746,u
ie,72.29,411,2526,3059,u
i,151.23,405,2722,3158,u
ie,73.30,291,2718,3247,u
ie,95.20,443,2703,3141,s
i,47.00,331,2705,3247,u
o,132.07,624,1031,2724,u
ie,51.83,415,2688,3242,u
ie,75.72,445,2736,3158,s
i,51.59,317,2565,3048,u
o,144.71,585,1089,2828,u
e,61.56,521,2284,3031,u
ɛe,80.10,740,2276,2996,s
e,79.73,601,1977,2787,u
e,106.80,638,1921,2927,u
ʌ,87.90,877,1466,3009,u
e,71.57,596,2182,3029,s
ʌ,87.23,743,1578,2876,u
e,49.98,435,2038,3015,u
ɛ,101.73,726,1785,2860,u
ʌ,94.52,863,1390,2946,u
ue,52.31,536,1635,2853,s
u,67.62,427,1745,2877,u
i,123.66,360,2612,3067,u
o,89.55,585,1170,2684,u
ʌ,85.96,872,1348,2857,u
ue,48.42,542,1761,2853,s
u,59.69,374,1466,2899,u
i,82.79,351,2686,3702,u
o,82.02,743,1219,2763,u
e,65.00,509,2283,2962,u
e,92.87,602,2202,2960,s
a,122.62,1036,1729,2594,u
o,49.79,778,1458,2864,u
e,69.39,551,2192,2976,s
e,69.59,455,2286,2920,u
i,128.40,391,2467,2947,u
øe,95.19,536,1772,2663,s
ø,84.56,554,1750,2700,u
øe,138.58,596,1950,2895,u
ue,90.12,468,1201,2725,s
u,75.08,385,1371,2784,u
e,161.11,578,2060,2778,u
ue,56.92,444,1166,2917,s
u,70.32,413,1298,2899,u
e,103.09,588,1927,2874,u
ɛ,206.99,713,1967,2889,u
ɛe,78.37,766,2314,3089,s
e,87.10,592,2014,2830,u
e,95.32,610,1752,2873,u
o,132.74,938,1370,3417,u
ie,81.84,338,2516,2823,s
i,67.49,367,2567,2972,u
e,92.08,572,2050,2903,u
e,143.66,556,2191,2909,u
ʌ,113.14,1025,1267,2924,u
e,83.88,625,2123,3008,s
ʌ,105.93,785,1463,2665,u
e,132.06,526,2003,2812,u
ie,91.71,428,2753,3164,s
i,66.06,396,2581,2988,u
e,59.88,432,2215,2942,u
ɛ,160.26,789,1839,2854,u
øe,107.40,551,1641,2666,s
ø,114.76,528,1712,2674,u
ø,51.40,448,2073,2816,u
o,141.68,597,1091,2877,u
øe,100.73,550,1713,2775,s
ø,92.98,532,1741,2691,u
øe,44.61,437,1973,2810,u
